"tickerTestData.ticker.return.signals","ticker.prediction"
"2011-06-03","hold","hold"
"2011-06-10","sell","hold"
"2011-06-15","sell","sell"
"2011-06-24","hold","hold"
"2011-06-28","buy","buy"
"2011-07-01","buy","buy"
"2011-07-05","hold","hold"
"2011-07-11","hold","hold"
"2011-07-13","hold","hold"
"2011-07-15","hold","hold"
"2011-07-20","hold","hold"
"2011-07-25","hold","hold"
"2011-07-26","hold","hold"
"2011-07-27","hold","hold"
"2011-08-01","hold","hold"
"2011-08-02","sell","sell"
"2011-08-23","buy","buy"
"2011-09-08","sell","sell"
"2011-09-13","hold","hold"
"2011-09-14","buy","buy"
"2011-09-15","buy","buy"
"2011-09-21","hold","hold"
"2011-09-22","sell","sell"
"2011-09-27","buy","buy"
"2011-09-30","sell","sell"
"2011-10-03","hold","hold"
"2011-10-07","hold","hold"
"2011-10-14","buy","buy"
"2011-10-25","sell","sell"
"2011-10-26","hold","hold"
"2011-10-31","sell","sell"
"2011-11-01","sell","sell"
"2011-11-04","hold","hold"
"2011-11-08","hold","hold"
"2011-11-09","sell","sell"
"2011-11-11","buy","buy"
"2011-11-22","hold","hold"
"2011-11-23","sell","sell"
"2011-11-30","buy","buy"
"2011-12-01","hold","hold"
"2011-12-16","sell","sell"
"2011-12-20","buy","buy"
"2011-12-21","sell","sell"
"2011-12-29","buy","buy"
"2012-01-05","hold","hold"
"2012-01-06","sell","sell"
"2012-01-09","hold","hold"
"2012-01-12","hold","hold"
"2012-01-24","buy","buy"
"2012-01-25","hold","hold"
"2012-01-26","hold","hold"
"2012-02-01","hold","hold"
"2012-02-02","hold","hold"
"2012-02-06","hold","hold"
"2012-02-13","hold","hold"
"2012-02-14","hold","hold"
"2012-02-24","hold","hold"
"2012-02-27","hold","hold"
"2012-03-01","hold","hold"
"2012-03-09","hold","hold"
"2012-03-13","buy","buy"
"2012-03-14","hold","hold"
"2012-03-15","hold","hold"
"2012-03-19","hold","hold"
"2012-03-20","hold","hold"
"2012-03-27","hold","hold"
"2012-04-03","hold","hold"
"2012-04-04","sell","sell"
"2012-04-13","sell","sell"
"2012-04-26","hold","hold"
"2012-05-03","hold","hold"
"2012-05-04","sell","hold"
"2012-05-07","hold","hold"
"2012-05-09","hold","hold"
"2012-05-11","hold","hold"
"2012-05-15","hold","hold"
"2012-05-23","hold","hold"
"2012-05-29","buy","buy"
"2012-05-30","hold","hold"
"2012-06-05","hold","hold"
"2012-06-07","hold","hold"
"2012-06-11","sell","sell"
"2012-06-12","buy","buy"
"2012-06-13","hold","hold"
"2012-06-18","hold","hold"
"2012-06-19","hold","hold"
"2012-06-21","sell","sell"
"2012-06-27","hold","hold"
"2012-07-13","buy","buy"
"2012-07-16","hold","hold"
"2012-07-30","hold","hold"
"2012-08-02","hold","hold"
"2012-08-06","hold","hold"
"2012-08-09","hold","hold"
"2012-08-15","hold","hold"
"2012-08-17","hold","hold"
"2012-08-27","sell","hold"
"2012-08-29","hold","hold"
"2012-09-05","hold","hold"
"2012-09-07","hold","hold"
"2012-09-10","hold","hold"
"2012-09-13","buy","buy"
"2012-09-26","hold","hold"
"2012-09-28","hold","hold"
"2012-10-09","hold","hold"
"2012-10-11","hold","hold"
"2012-10-22","hold","hold"
"2012-10-24","hold","hold"
"2012-11-01","buy","buy"
"2012-11-09","hold","hold"
"2012-11-12","hold","hold"
"2012-11-13","hold","hold"
"2012-11-27","hold","hold"
"2012-12-04","hold","hold"
"2012-12-10","hold","hold"
"2012-12-14","hold","hold"
"2012-12-24","hold","hold"
"2013-01-03","hold","hold"
"2013-01-08","hold","hold"
"2013-01-09","hold","hold"
"2013-01-16","hold","hold"
"2013-01-18","hold","hold"
"2013-01-23","buy","buy"
"2013-01-25","hold","hold"
"2013-01-28","hold","hold"
"2013-01-30","hold","hold"
"2013-01-31","hold","hold"
"2013-02-06","hold","hold"
"2013-02-11","hold","hold"
"2013-02-19","hold","hold"
"2013-02-20","hold","hold"
"2013-02-21","hold","hold"
"2013-02-25","sell","sell"
"2013-03-05","hold","hold"
"2013-03-14","buy","buy"
"2013-03-15","hold","hold"
"2013-03-20","hold","hold"
"2013-03-27","hold","hold"
"2013-03-28","buy","buy"
"2013-04-01","hold","hold"
"2013-04-03","hold","hold"
"2013-04-16","buy","buy"
"2013-04-17","sell","sell"
"2013-04-18","sell","sell"
"2013-04-26","hold","hold"
"2013-05-03","buy","buy"
"2013-05-08","buy","buy"
"2013-05-20","hold","hold"
"2013-05-23","hold","hold"
"2013-05-31","hold","hold"
"2013-06-04","sell","sell"
"2013-06-12","sell","sell"
"2013-06-19","sell","sell"
"2013-06-21","hold","hold"
"2013-06-25","hold","hold"
"2013-07-01","hold","hold"
"2013-07-02","hold","hold"
"2013-07-08","hold","hold"
"2013-07-09","sell","sell"
"2013-07-10","hold","hold"
"2013-07-17","hold","hold"
"2013-07-18","buy","buy"
"2013-07-24","hold","hold"
"2013-07-25","hold","hold"
"2013-07-26","hold","hold"
"2013-07-31","hold","hold"
"2013-08-01","hold","hold"
"2013-08-05","hold","hold"
"2013-08-07","hold","hold"
"2013-08-09","hold","hold"
"2013-08-12","hold","hold"
"2013-08-16","hold","hold"
"2013-08-21","hold","hold"
"2013-08-22","hold","hold"
"2013-08-26","hold","hold"
"2013-08-28","hold","hold"
"2013-08-29","hold","hold"
"2013-09-04","hold","hold"
"2013-09-10","hold","hold"
"2013-09-16","hold","hold"
"2013-09-23","hold","hold"
"2013-09-25","hold","hold"
"2013-09-27","sell","sell"
"2013-10-03","hold","hold"
"2013-10-04","hold","hold"
"2013-10-07","sell","sell"
"2013-10-08","sell","sell"
"2013-10-21","hold","hold"
"2013-10-28","hold","hold"
"2013-10-31","hold","hold"
"2013-11-11","buy","buy"
